ID,name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
167914,Pork Cured Bacon Cooked Baked,Meats,548.0,43.27,35.73,1.35,0.0,0.0,107.0,14.187,10.0,1.49,539.0,30.0,37.0,11.0,0.0,1.16,,0.32,,1.35,12.52,210.0,4287.0,23.938,0.0,,,,,,,,,,,506.0,2193.0,3.36,0.182,0.022,59.0,,,,0.348,0.251,10.623,1.033,0.309,,2.0,0.0,2.0,2.0,119.3,3.4,11.0,0.0,0.0,0.0,0.0,,,,0.1,0.0,,19065.0,4859.0,210.0,0.0,0.0,0.0,299.0,1399.0,1676.0,2782.0,2964.0,795.0,397.0,1417.0,1119.0,1901.0,2314.0,1343.0,2286.0,3362.0,5260.0,2508.0,1960.0,1359.0,628.0,0.0,0.0,0.0,8.1,1 slice cooked,,,,,,,,,,,,,,,,,36.496
167946,Schifftigers Milk Bar,Sweets,387.0,14.29,16.8,56.46,36.4,2.3,2.0,2.073,429.0,10.28,294.0,336.0,3.0,1.0,16.8,4.2,0.0,2.48,,54.16,10.28,599.0,3076.0,8.335,0.036,,,,,,,,,0.53,,560.0,168.0,1.44,0.269,0.944,5.9,0.4,,,1.47,0.319,4.039,4.2,1.68,,55.0,0.0,55.0,55.0,42.3,0.2,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.6,0.0,0.0,7907.0,3678.0,,0.0,0.0,0.0,,,,,,,,,,,,,,1621.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,51.68
167958,Snacks Oriental Mix Rice-Based,Snacks,506.0,25.58,17.31,51.62,3.0,13.2,0.0,3.785,54.0,2.44,328.0,118.0,0.0,0.0,0.3,0.0,0.0,5.6,,38.42,2.55,317.0,10286.0,7.45,,,,,,,,,,,,262.0,413.0,2.66,0.134,1.273,8.1,,,,0.311,0.141,3.081,0.475,0.072,,38.0,0.0,38.0,38.0,18.1,,0.0,0.0,0.0,0.0,0.0,,,0.0,2.4,,,9860.0,10643.0,,0.0,0.0,0.0,192.0,640.0,675.0,1240.0,681.0,247.0,254.0,972.0,743.0,797.0,2103.0,473.0,745.0,2161.0,4109.0,1081.0,945.0,929.0,,0.0,0.0,0.0,28.4,1 oz,57.0,2 oz,,,,,,,,,,,,,,,39.526
167961,Snacks Pork Skins Plain,Snacks,544.0,31.3,61.3,0.0,0.0,0.0,95.0,11.37,30.0,0.88,127.0,11.0,40.0,12.0,0.5,0.64,0.0,0.53,,0.0,1.8,260.0,3350.0,29.823,,,,,,,,,,,,85.0,1818.0,0.56,0.094,0.069,41.0,,,,0.099,0.283,1.549,0.43,0.023,,0.0,0.0,0.0,0.0,164.5,,12.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,14780.0,3640.0,,0.0,0.0,0.0,118.0,1823.0,1382.0,3322.0,2783.0,480.0,529.0,1940.0,1205.0,2421.0,4841.0,725.0,5811.0,4469.0,7625.0,11917.0,7262.0,2597.0,,0.0,0.0,0.0,28.4,1 oz,14.2,1/2 oz,,,,,,,,,,,,,,,36.765
168051,Seal Bearded (Oogruk) Meat Dried In Oil (Alaska Native),American Indian,367.0,25.08,35.31,0.0,0.0,0.0,64.0,3.92,7.0,17.0,400.0,29.0,1947.0,,0.0,5.85,,0.55,,0.0,35.48,670.0,260.0,16.888,,,,,,,,,,0.0,,240.0,120.0,3.1,0.27,0.037,90.8,,,,0.011,0.364,6.52,0.727,0.091,,11.0,0.0,11.0,11.0,68.1,60.9,,,,,,,,,0.0,4.0,0.8,11160.0,1180.0,,280.0,150.0,190.0,340.0,1380.0,1340.0,2730.0,2860.0,720.0,190.0,1400.0,920.0,1380.0,1990.0,1260.0,2020.0,2940.0,4720.0,1860.0,1620.0,1280.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,54.496
168052,Fish Whitefish Dried (Alaska Native),American Indian,371.0,13.44,62.44,0.0,0.0,0.0,266.0,2.85,810.0,4.1,1080.0,85.0,131.0,39.0,0.0,18.4,,0.66,,0.0,20.59,1310.0,340.0,33.522,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1040.0,200.0,5.0,0.18,0.23,113.0,,,,0.053,0.438,11.2,2.57,0.365,,11.0,0.0,11.0,11.0,205.6,88.3,39.0,0.0,0.0,0.0,0.0,,,,1.3,0.0,0.5,4380.0,2160.0,,420.0,180.0,650.0,580.0,2470.0,2260.0,4110.0,4770.0,1740.0,500.0,2340.0,1740.0,2610.0,3610.0,1300.0,3780.0,5670.0,8100.0,4370.0,2980.0,2340.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,53.908
168054,Fish Salmon Chum Dried (Alaska Native),American Indian,378.0,14.38,62.09,0.0,0.0,0.0,214.0,2.395,155.0,2.2,910.0,68.0,53.0,16.0,0.0,28.6,,0.82,,0.0,22.79,1910.0,154.0,31.47,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,650.0,190.0,1.4,0.254,0.071,103.8,,,,0.356,0.463,14.65,2.76,0.681,,12.0,0.0,12.0,12.0,231.2,10.6,16.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,5139.0,2323.0,,610.0,215.0,950.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,52.91
168079,Dennys Chicken Nuggets Star Shaped From Kids Menu,Restaurant Foods,377.0,28.57,16.27,13.59,0.0,0.8,57.0,5.606,16.0,1.34,244.0,22.0,58.0,17.0,,0.16,,1.91,,12.79,39.25,1306.0,9368.0,11.435,0.213,,,0.0,0.0,0.0,0.0,0.0,0.0,12.6,,254.0,644.0,0.73,0.059,0.212,17.3,,,,0.137,0.193,6.353,1.155,0.382,,29.0,,,,,,17.0,0.0,0.0,0.0,15.0,,,,36.6,0.0,12.6,9817.0,10701.0,1290.0,2.0,6.0,3.0,,576.0,676.0,1340.0,2005.0,443.0,210.0,642.0,510.0,742.0,1219.0,631.0,886.0,1208.0,2792.0,942.0,1008.0,676.0,110.0,,,,67.0,1 serving 4 pieces in serving,16.0,1 piece,,,,,,,,,,,,,,,53.05
168089,Imitation Cheese American Or Cheddar Low Cholesterol,Dairy and Egg Products,390.0,32.0,25.0,1.0,1.0,0.0,15.0,5.815,705.0,0.7,55.0,30.0,423.0,115.0,0.0,0.83,0.0,0.28,,1.0,38.0,179.0,10439.0,20.746,,,,,,,,,,,,530.0,670.0,3.0,0.03,,14.6,,,,0.03,0.36,0.08,,0.07,,18.0,0.0,18.0,18.0,0.1,,113.0,28.0,0.0,0.0,0.0,,,0.0,2.7,,,14127.0,10615.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,113.0,"1 cup, shredded",18.0,1 cubic inch,,,,,,,,,,,,,,,51.282
168098,Cheese Monterey Low Fat,Dairy and Egg Products,313.0,21.6,28.2,0.7,0.56,0.0,65.0,14.04,705.0,0.72,81.0,27.0,549.0,142.0,0.0,0.83,0.4,0.19,,0.7,46.0,240.0,600.0,18.662,,,,,,,,,,,,444.0,781.0,3.0,0.032,,14.5,,,,0.02,0.36,0.09,,0.08,,18.0,0.0,18.0,18.0,15.4,,137.0,55.0,0.0,0.0,0.0,,0.4,16.0,1.8,,,5640.0,840.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,132.0,"1 cup, diced",113.0,"1 cup, shredded",17.0,1 cubic inch,28.0,1 slice (1 oz),,,,,,,,,,,63.898
168121,Cheese Pasteurized Process Cheddar Or American Low Sodium,Dairy and Egg Products,376.0,31.19,22.2,1.6,0.45,0.0,94.0,19.651,616.0,0.39,162.0,22.0,959.0,254.0,0.0,0.7,0.6,0.27,,1.6,42.8,379.0,609.0,26.438,,,,,,,,,,,,745.0,7.0,2.99,0.03,,12.7,,,,0.03,0.35,0.07,,0.07,,8.0,0.0,8.0,8.0,36.2,,247.0,81.0,0.0,0.0,0.0,,0.6,23.0,2.6,,,8932.0,988.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,140.0,"1 cup, diced",113.0,"1 cup, shredded",18.0,1 cubic inch,21.0,1 slice,,,,,,,,,,,53.191
168124,Cheese Swiss Low Sodium,Dairy and Egg Products,374.0,27.4,28.4,3.4,1.31,0.0,92.0,17.744,961.0,0.17,111.0,36.0,818.0,216.0,0.0,1.68,0.5,0.37,,3.4,37.8,349.0,619.0,20.519,,,,,,,,,,,,605.0,14.0,3.9,0.032,,12.5,,,,0.02,0.37,0.09,,0.08,,6.0,0.0,6.0,6.0,15.4,,211.0,69.0,0.0,0.0,0.0,,0.5,20.0,2.4,,,7256.0,968.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,28.0,1 slice,15.0,1 cubic inch,108.0,"1 cup, shredded",132.0,"1 cup, diced",,,,,,,,,,,53.476
168149,Fish Mackerel Salted,Fish,305.0,25.1,18.5,0.0,0.0,0.0,95.0,7.148,66.0,1.4,520.0,60.0,157.0,47.0,0.0,12.0,25.2,2.38,,0.0,43.0,5373.0,369.0,5.055,,,,,,,,,,,,254.0,4450.0,1.1,0.1,,73.4,,,,0.02,0.19,3.3,,0.41,,15.0,0.0,15.0,15.0,101.6,,47.0,0.0,0.0,0.0,0.0,,25.2,1006.0,7.8,,,8320.0,6210.0,,1619.0,391.0,2965.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,80.0,1 piece (5-1/2 inch x 1-1/2 inch x 1/2 inch),17.0,"1 cubic inch, boneless",136.0,"1 cup, cooked",,,,,,,,,,,,,65.574
168257,Pork Fresh Shoulder Arm Picnic Separable Lean And Fat Cooked Roasted,Meats,317.0,24.01,23.47,0.0,,0.0,94.0,8.78,19.0,1.18,325.0,17.0,8.0,2.0,0.2,0.71,,,,0.0,52.04,70.0,2090.0,12.385,,,,,,,,,,,,228.0,70.0,3.45,0.111,0.033,33.6,,,,0.522,0.302,3.918,0.532,0.348,,4.0,0.0,4.0,4.0,,,2.0,,,,,,,,,,,10720.0,2350.0,,,,,273.0,1032.0,1042.0,1838.0,2077.0,587.0,286.0,924.0,770.0,1246.0,1531.0,864.0,1400.0,2112.0,3492.0,1439.0,1120.0,969.0,,,,,135.0,"1 cup, diced",85.0,3 oz,,,,,,,,,,,,,,,63.091
168272,Pork Fresh Variety Meats And By-Products Mechanically Separated Raw,Meats,304.0,26.54,15.03,0.0,,0.0,77.0,9.82,315.0,4.25,298.0,16.0,10.0,3.0,0.7,0.58,,,,0.0,56.87,160.0,2140.0,3.961,,,,,,,,,,,,200.0,50.0,2.44,0.082,0.011,32.9,,,,0.697,0.201,3.171,0.59,0.37,,3.0,0.0,3.0,3.0,,,3.0,,,,,,,,,,,12260.0,2440.0,,0.0,0.0,0.0,202.0,617.0,689.0,1099.0,1180.0,313.0,169.0,648.0,518.0,913.0,1074.0,540.0,874.0,1152.0,1983.0,862.0,718.0,600.0,,,,,28.4,1 oz,453.6,1 lb,,,,,,,,,,,,,,,65.789
168291,Pork Fresh Variety Meats And By-Products Tail Raw,Meats,378.0,33.5,17.75,0.0,,0.0,97.0,11.64,18.0,0.99,349.0,8.0,0.0,0.0,0.0,0.88,,,,0.0,46.05,280.0,3190.0,2.739,,,,,,,,,,,,50.0,63.0,2.31,0.084,0.011,2.7,,,,0.21,0.11,2.06,0.673,0.37,,5.0,0.0,5.0,5.0,,,0.0,,,,,,,,,,,15800.0,3680.0,,0.0,0.0,0.0,89.0,550.0,408.0,905.0,1012.0,320.0,230.0,479.0,320.0,515.0,1189.0,302.0,1278.0,1384.0,2130.0,2361.0,1509.0,692.0,,,,,28.4,1 oz,113.0,4 oz,,,,,,,,,,,,,,,52.91
168321,Pork Cured Bacon Cooked Microwaved,Meats,476.0,34.12,39.01,0.48,0.0,0.0,111.0,11.644,13.0,1.14,525.0,34.0,,,0.0,1.0,,0.48,,0.48,20.38,266.0,5204.0,21.367,0.119,,,,,,,,,,,389.0,1783.0,3.51,0.117,0.023,65.1,,,,0.554,0.257,10.714,1.167,0.513,,,0.0,,,107.2,8.4,,0.0,0.0,0.0,0.0,,,,,,,15235.0,5602.0,199.0,5.0,24.0,7.0,464.0,1716.0,1847.0,3211.0,3470.0,1069.0,440.0,1621.0,1546.0,1973.0,2514.0,1587.0,2235.0,3649.0,5960.0,1763.0,1577.0,1629.0,136.0,0.0,0.0,0.0,9.1,1 slice cooked,28.0,1 slice raw,,,,,,,,,,,,,,,42.017
168322,Bacon (Pan-Fried),Meats,468.0,35.09,33.92,1.7,0.0,0.0,99.0,11.964,11.0,0.95,499.0,31.0,37.0,11.0,0.0,1.09,0.4,0.42,,1.7,23.65,293.0,5695.0,19.49,0.144,,,,,,,,,,,388.0,1684.0,3.06,0.105,0.022,50.7,,,,0.56,0.232,10.457,1.1,0.535,,0.0,0.0,0.0,0.0,89.5,8.1,11.0,0.0,0.0,0.0,0.0,,0.4,17.0,0.0,,,15530.0,6112.0,223.0,4.0,26.0,8.0,407.0,1504.0,1619.0,2814.0,3041.0,937.0,385.0,1421.0,1355.0,1729.0,2203.0,1391.0,1958.0,3198.0,5223.0,1545.0,1382.0,1428.0,119.0,0.0,0.0,0.0,11.5,1 slice,,,,,,,,,,,,,,,36.0,3 slices,42.735
168373,Pork Ground 72% Lean / 28% Fat Cooked Pan-Broiled,Meats,377.0,31.42,22.59,1.08,0.0,0.0,99.0,10.804,20.0,1.21,275.0,18.0,0.0,0.0,0.0,1.11,0.8,0.47,,1.08,43.85,240.0,3922.0,11.23,0.229,,,,,,,,,,,181.0,91.0,2.48,0.038,0.013,37.9,,,,0.271,0.488,6.852,0.815,0.443,,4.0,0.0,4.0,4.0,76.1,5.4,0.0,0.0,0.0,0.0,0.0,,0.8,32.0,0.0,0.0,,14356.0,4222.0,202.0,6.0,25.0,7.0,292.0,958.0,1033.0,1802.0,1943.0,603.0,261.0,962.0,957.0,1137.0,1473.0,893.0,1332.0,2035.0,3339.0,1263.0,1109.0,906.0,211.0,0.0,0.0,0.0,85.0,3 oz grilled patties,,,,,,,,,,,,,,,,,53.05
168374,Pork Ground 84% Lean / 16% Fat Cooked Pan-Broiled,Meats,301.0,21.39,27.14,0.0,0.0,0.0,97.0,7.453,20.0,1.16,345.0,22.0,0.0,0.0,0.0,0.97,0.5,0.44,,0.0,51.97,174.0,2731.0,13.358,0.192,,,,,,,,,,,221.0,89.0,2.54,0.038,0.013,43.5,,,,0.352,0.462,8.573,0.83,0.535,,4.0,0.0,4.0,4.0,85.6,7.4,0.0,0.0,0.0,0.0,0.0,,0.5,22.0,0.0,0.0,,10032.0,3061.0,144.0,5.0,19.0,6.0,350.0,1151.0,1241.0,2165.0,2335.0,725.0,313.0,1155.0,1149.0,1366.0,1770.0,1072.0,1600.0,2444.0,4011.0,1517.0,1332.0,1089.0,254.0,0.0,0.0,0.0,85.0,3 oz grilled patties,,,,,,,,,,,,,,,,,66.445
